symbol	cate	logFC	sign	adj.P.Val
Usp29	X4H - S4H	2.6628	Up	0.0003
Ermn	X4H - S4H	2.5043	Up	0.0003
Gm10256	X4H - S4H	2.2575	Up	0.0003
Htra3	X4H - S4H	-1.9226	Down	0.0003
Pde4b	X4H - S4H	1.9419	Up	0.0003
Zc3h12d	X4H - S4H	1.5917	Up	0.0003
Rps6ka1	X4H - S4H	-1.1864	Down	0.0003
Irs2	X4H - S4H	2.3113	Up	0.0004
Efs	X4H - S4H	-8.338	Down	0.0004
Gm7367	X4H - S4H	-1.0124	Down	0.0004
Oit3	X4H - S4H	-1.5353	Down	0.0004
Sik1	X4H - S4H	1.4351	Up	0.0004
Spint1	X4H - S4H	-2.1738	Down	0.0004
Fahd1	X4H - S4H	-1.2676	Down	0.0004
Ctnnbip1	X4H - S4H	-1.0909	Down	0.0004
Gm129	X4H - S4H	-3.3526	Down	0.0004
Gpr12	X4H - S4H	-8.9635	Down	0.0004
Hspa1a	X4H - S4H	-2.6068	Down	0.0004
Abcg3	X4H - S4H	-2.5257	Down	0.0004
BC028528	X4H - S4H	-1.9862	Down	0.0004
Rps6ka2	X4H - S4H	1.2365	Up	0.0004
Exph5	X4H - S4H	1.5099	Up	0.0005
Gm11401	X4H - S4H	-9.0931	Down	0.0005
3930402G23Rik	X4H - S4H	2.9738	Up	0.0005
Dusp7	X4H - S4H	-1.1105	Down	0.0005
Slc22a5	X4H - S4H	1.2834	Up	0.0005
Sphk2	X4H - S4H	-1.1148	Down	0.0005
Pygb	X4H - S4H	-1.1835	Down	0.0005
Il12rb1	X4H - S4H	-1.7433	Down	0.0005
Mks1	X4H - S4H	1.0478	Up	0.0006
Slc5a3	X4H - S4H	-1.4886	Down	0.0006
Banp	X4H - S4H	-1.2141	Down	0.0006
Dpysl2	X4H - S4H	-1.3555	Down	0.0006
Gm17251	X4H - S4H	-1.3074	Down	0.0006
1700010I14Rik	X4H - S4H	1.9201	Up	0.0006
Gm11398	X4H - S4H	-4.4003	Down	0.0006
Aim1	X4H - S4H	1.0957	Up	0.0006
Rims2	X4H - S4H	-7.2381	Down	0.0006
Sectm1a	X4H - S4H	-4.2591	Down	0.0006
Nr1h5	X4H - S4H	-4.112	Down	0.0006
Gm14501	X4H - S4H	-4.4403	Down	0.0006
1600029D21Rik	X4H - S4H	-1.1356	Down	0.0006
Gm6484	X4H - S4H	-2.7778	Down	0.0006
Ccnl1	X4H - S4H	1.3493	Up	0.0006
Ror1	X4H - S4H	1.2848	Up	0.0006
Slc4a4	X4H - S4H	1.157	Up	0.0006
Bcl6b	X4H - S4H	-1.7652	Down	0.0007
2310004N24Rik	X4H - S4H	1.4043	Up	0.0007
Slc34a2	X4H - S4H	2.642	Up	0.0007
6030443J06Rik	X4H - S4H	1.7953	Up	0.0007
Cenpq	X4H - S4H	-1.1468	Down	0.0007
Itih5	X4H - S4H	1.1247	Up	0.0007
Cdhr2	X4H - S4H	6.7595	Up	0.0007
Tgm2	X4H - S4H	1.1051	Up	0.0007
Ufsp1	X4H - S4H	-1.0554	Down	0.0007
AU018091	X4H - S4H	5.038	Up	0.0007
Bbc3	X4H - S4H	-1.5263	Down	0.0007
Wasf1	X4H - S4H	-1.4119	Down	0.0008
Hspa1b	X4H - S4H	-2.4364	Down	0.0008
D030054H15Rik	X4H - S4H	-3.4234	Down	0.0008
Hsph1	X4H - S4H	-2.0201	Down	0.0008
Pafah1b3	X4H - S4H	-1.1874	Down	0.0008
Mblac2	X4H - S4H	-1.1756	Down	0.0008
Stx1b	X4H - S4H	1.4704	Up	0.0008
Prosapip1	X4H - S4H	-1.0796	Down	0.0008
Trp53i11	X4H - S4H	-1.4079	Down	0.0008
Cd209e	X4H - S4H	5.6822	Up	0.0009
Gm11131	X4H - S4H	-1.0584	Down	0.0009
Il15	X4H - S4H	-4.0127	Down	0.0009
Gm12840	X4H - S4H	1.1576	Up	0.0009
Rai2	X4H - S4H	-1.1848	Down	0.0009
Cdc45	X4H - S4H	-1.4038	Down	0.0009
A830007P12Rik	X4H - S4H	-1.2057	Down	0.001
Id1	X4H - S4H	1.9264	Up	0.001
Slc7a6	X4H - S4H	2.3061	Up	0.001
Slc2a1	X4H - S4H	-1.1457	Down	0.001
Arhgap28	X4H - S4H	-3.3395	Down	0.001
Agpat9	X4H - S4H	1.4622	Up	0.001
Lrrc8e	X4H - S4H	-2.7071	Down	0.001
Gm16731	X4H - S4H	-2.5307	Down	0.0011
Ncaph	X4H - S4H	-1.6924	Down	0.0011
Pde4d	X4H - S4H	1.3799	Up	0.0011
Sytl1	X4H - S4H	-1.5499	Down	0.0011
Twist1	X4H - S4H	-8.2637	Down	0.0011
Agfg2	X4H - S4H	-1.1728	Down	0.0012
Jag1	X4H - S4H	1.094	Up	0.0012
Pgm2l1	X4H - S4H	-1.0602	Down	0.0012
Arhgef19	X4H - S4H	-1.2538	Down	0.0012
Tspyl2	X4H - S4H	-1.4048	Down	0.0012
Stoml3	X4H - S4H	6.0738	Up	0.0012
Chac2	X4H - S4H	-1.0766	Down	0.0012
Dbf4	X4H - S4H	-1.173	Down	0.0012
Prkch	X4H - S4H	-1.3513	Down	0.0012
Podxl	X4H - S4H	1.155	Up	0.0013
Rgs3	X4H - S4H	-2.1985	Down	0.0013
Gimap6	X4H - S4H	-1.3209	Down	0.0013
Grhl3	X4H - S4H	-9.1848	Down	0.0013
Clec7a	X4H - S4H	-2.3818	Down	0.0013
Ccdc134	X4H - S4H	-1.4293	Down	0.0013
Dact3	X4H - S4H	-5.695	Down	0.0014
Sox12	X4H - S4H	-1.5575	Down	0.0014
RP23-349B16.3	X4H - S4H	-6.0352	Down	0.0014
Sh2d3c	X4H - S4H	-1.1334	Down	0.0014
Rpusd1	X4H - S4H	-1.1528	Down	0.0015
N4bp3	X4H - S4H	-1.2772	Down	0.0015
Plxnd1	X4H - S4H	-1.2494	Down	0.0015
Krt19	X4H - S4H	-2.0503	Down	0.0015
Apbb3	X4H - S4H	1.2697	Up	0.0015
Gm15801	X4H - S4H	1.1978	Up	0.0015
Gm8783	X4H - S4H	1.1975	Up	0.0015
BC030307	X4H - S4H	-1.2503	Down	0.0015
Il4i1	X4H - S4H	1.9151	Up	0.0015
Dio1	X4H - S4H	1.2508	Up	0.0015
Rps6kl1	X4H - S4H	-3.6197	Down	0.0016
Cdt1	X4H - S4H	-1.5223	Down	0.0016
Zbtb12	X4H - S4H	-1.5064	Down	0.0016
Gm5582	X4H - S4H	1.296	Up	0.0016
1700055D18Rik	X4H - S4H	-1.4741	Down	0.0016
A030009H04Rik	X4H - S4H	-2.2136	Down	0.0016
Hist2h3c1	X4H - S4H	-1.0625	Down	0.0016
Adra2b	X4H - S4H	-1.6814	Down	0.0017
Acvr1b	X4H - S4H	1.5404	Up	0.0017
Gm13363	X4H - S4H	1.0909	Up	0.0017
Ap1s3	X4H - S4H	1.3916	Up	0.0017
Brca1	X4H - S4H	-1.3241	Down	0.0017
Mlph	X4H - S4H	-1.8086	Down	0.0017
Col4a1	X4H - S4H	1.0849	Up	0.0018
Ccdc96	X4H - S4H	-3.5275	Down	0.0018
5330430P22Rik	X4H - S4H	-1.8667	Down	0.0018
Prmt2	X4H - S4H	-1.5871	Down	0.0018
Ccne2	X4H - S4H	-1.7885	Down	0.0018
Klhl23	X4H - S4H	-1.6993	Down	0.0019
Gm13413	X4H - S4H	-1.2621	Down	0.0019
Rtn4rl1	X4H - S4H	-1.3377	Down	0.0019
Rab25	X4H - S4H	-7.7969	Down	0.002
Pknox2	X4H - S4H	2.0808	Up	0.002
Zfp941	X4H - S4H	1.6164	Up	0.002
Arhgef16	X4H - S4H	-1.4901	Down	0.002
Cep110	X4H - S4H	1.1711	Up	0.002
Slc52a3	X4H - S4H	1.8135	Up	0.0021
Gm16867	X4H - S4H	1.2298	Up	0.0021
Kank2	X4H - S4H	-1.1277	Down	0.0021
Prss53	X4H - S4H	-1.5645	Down	0.0022
Sema5b	X4H - S4H	1.8433	Up	0.0022
Gm17302	X4H - S4H	6.5074	Up	0.0022
Gm15545	X4H - S4H	-1.3999	Down	0.0023
Zfp30	X4H - S4H	-1.0431	Down	0.0023
Atad2	X4H - S4H	-1.2544	Down	0.0024
AC131596.1	X4H - S4H	8.4811	Up	0.0024
Mast1	X4H - S4H	-3.192	Down	0.0025
Gm11019	X4H - S4H	8.9266	Up	0.0025
Pcgf2	X4H - S4H	-1.134	Down	0.0026
Pdia4	X4H - S4H	-1.4321	Down	0.0026
Psmc3ip	X4H - S4H	-4.7032	Down	0.0026
Tmem159	X4H - S4H	-1.1475	Down	0.0027
Fam98c	X4H - S4H	-1.0771	Down	0.0027
Igsf8	X4H - S4H	-1.2079	Down	0.0027
Zfp169	X4H - S4H	1.111	Up	0.0027
2900053O20Rik	X4H - S4H	-1.5771	Down	0.0028
Marveld1	X4H - S4H	-1.0265	Down	0.0028
Mid1	X4H - S4H	1.2407	Up	0.0028
Prss8	X4H - S4H	-1.5635	Down	0.0028
Mlf1ip	X4H - S4H	-3.263	Down	0.0028
Esrrg	X4H - S4H	2.0367	Up	0.0028
A930004D18Rik	X4H - S4H	-1.7181	Down	0.0029
Gm13768	X4H - S4H	1.1178	Up	0.0029
Rab30	X4H - S4H	1.5272	Up	0.0029
Gm15482	X4H - S4H	2.3992	Up	0.003
Ndufa4l2	X4H - S4H	-1.4427	Down	0.0031
Lrrc3	X4H - S4H	-1.0062	Down	0.0032
Pth1r	X4H - S4H	-1.1457	Down	0.0032
Gm16550	X4H - S4H	-5.402	Down	0.0032
Neurl3	X4H - S4H	-1.6334	Down	0.0033
Sass6	X4H - S4H	-1.1538	Down	0.0033
Bean1	X4H - S4H	5.6045	Up	0.0034
Zfp799	X4H - S4H	1.1673	Up	0.0034
Dopey2	X4H - S4H	1.0182	Up	0.0035
Rnf125	X4H - S4H	1.7614	Up	0.0036
Zfp503	X4H - S4H	-1.7948	Down	0.0036
Cnr2	X4H - S4H	-1.7871	Down	0.0037
1300015D01Rik	X4H - S4H	1.512	Up	0.0038
Gm830	X4H - S4H	-4.2945	Down	0.0039
