symbol	cate	logFC	sign	adj.P.Val
Bmf	X10H - S10H	-2.2501	Down	0.0009
Zfp40	X10H - S10H	1.3437	Up	0.001
Tubb3	X10H - S10H	9.9514	Up	0.0011
Mrap	X10H - S10H	1.0565	Up	0.0012
Cxcl12	X10H - S10H	-1.0133	Down	0.0012
Synpo	X10H - S10H	1.5657	Up	0.0012
Nes	X10H - S10H	2.3713	Up	0.0014
Slc25a24	X10H - S10H	1.8498	Up	0.0016
Pspc1	X10H - S10H	1.1684	Up	0.0016
Cdkn1a	X10H - S10H	3.3675	Up	0.0016
Lmod1	X10H - S10H	4.228	Up	0.0017
Serpina9	X10H - S10H	-7.6824	Down	0.0018
Ppargc1a	X10H - S10H	1.7208	Up	0.0018
Pdgfb	X10H - S10H	1.918	Up	0.0018
Tmem47	X10H - S10H	1.1915	Up	0.002
Saa4	X10H - S10H	-1.4097	Down	0.002
I830012O16Rik	X10H - S10H	-1.6967	Down	0.002
Fam134b	X10H - S10H	1.2945	Up	0.002
Sema3d	X10H - S10H	1.5217	Up	0.002
Col12a1	X10H - S10H	1.9154	Up	0.002
H2-Ob	X10H - S10H	4.0799	Up	0.002
Serpina3d-ps	X10H - S10H	8.2326	Up	0.002
Mir146	X10H - S10H	-4.7105	Down	0.002
AC160138.1	X10H - S10H	-4.668	Down	0.002
AC166903.1	X10H - S10H	-4.5571	Down	0.002
Mir1195	X10H - S10H	-4.2021	Down	0.002
AC125134.1	X10H - S10H	-3.8133	Down	0.002
AC161167.1	X10H - S10H	-3.8133	Down	0.002
1700003F17Rik	X10H - S10H	-3.6632	Down	0.002
Gm11167	X10H - S10H	-3.581	Down	0.002
Gm14808	X10H - S10H	-3.5753	Down	0.002
Gm12523	X10H - S10H	-3.5708	Down	0.002
Gm12868	X10H - S10H	-3.506	Down	0.002
Gm13002	X10H - S10H	-3.2696	Down	0.002
Gm14617	X10H - S10H	-3.254	Down	0.002
Gm136	X10H - S10H	-3.1945	Down	0.002
Cela3b	X10H - S10H	-3.1515	Down	0.002
Gm7325	X10H - S10H	-3.1135	Down	0.002
Dlx1as	X10H - S10H	-3.0899	Down	0.002
Bpifb5	X10H - S10H	-3.0879	Down	0.002
BC065403	X10H - S10H	-3.0763	Down	0.002
Gm16621	X10H - S10H	-3.0133	Down	0.002
Gm17653	X10H - S10H	-2.959	Down	0.002
E030010N08Rik	X10H - S10H	-2.8479	Down	0.002
Gm4766	X10H - S10H	-2.7819	Down	0.002
BC027072	X10H - S10H	-2.5521	Down	0.002
Gpr61	X10H - S10H	-2.4605	Down	0.002
Sox21	X10H - S10H	-2.4461	Down	0.002
Olfr382	X10H - S10H	-2.345	Down	0.002
Olfr381	X10H - S10H	-2.2849	Down	0.002
Olfr391-ps	X10H - S10H	-2.2609	Down	0.002
Atp10d	X10H - S10H	1.5424	Up	0.0021
Mbl2	X10H - S10H	-1.2176	Down	0.0021
Cbfa2t3	X10H - S10H	2.1611	Up	0.0021
Endod1	X10H - S10H	1.6282	Up	0.0022
Notum	X10H - S10H	-1.0518	Down	0.0023
Mamld1	X10H - S10H	2.1716	Up	0.0024
Mreg	X10H - S10H	-1.2039	Down	0.0024
Jub	X10H - S10H	1.3384	Up	0.0025
2310001H17Rik	X10H - S10H	-1.3215	Down	0.0025
Actg1	X10H - S10H	1.7164	Up	0.0027
Gm12250	X10H - S10H	-2.0429	Down	0.0027
Gm16247	X10H - S10H	4.707	Up	0.0028
Gm12725	X10H - S10H	10.2274	Up	0.0028
Gm12715	X10H - S10H	1.7223	Up	0.0028
Slc4a4	X10H - S10H	1.1846	Up	0.0028
Nmb	X10H - S10H	4.3872	Up	0.0029
Gulp1	X10H - S10H	3.5854	Up	0.0029
Gm4956	X10H - S10H	-1.9509	Down	0.0029
mt-Tm	X10H - S10H	-1.8422	Down	0.0029
2810417H13Rik	X10H - S10H	6.2962	Up	0.003
Asb4	X10H - S10H	5.973	Up	0.003
Klf12	X10H - S10H	-1.2341	Down	0.003
Foxs1	X10H - S10H	4.5196	Up	0.003
Ctbp2	X10H - S10H	1.4715	Up	0.0032
Pi15	X10H - S10H	7.1302	Up	0.0033
Fam55d	X10H - S10H	3.9591	Up	0.0033
Rtn2	X10H - S10H	-4.6784	Down	0.0034
Marcksl1-ps4	X10H - S10H	-1.8652	Down	0.0035
Ifi47	X10H - S10H	-1.3984	Down	0.0036
Ly6d	X10H - S10H	2.7514	Up	0.0036
2010003K11Rik	X10H - S10H	1.3227	Up	0.0036
Emid1	X10H - S10H	5.572	Up	0.0037
Gdf15	X10H - S10H	1.9536	Up	0.0038
Dll4	X10H - S10H	-1.4824	Down	0.004
Plk1	X10H - S10H	5.3853	Up	0.004
Cnn2	X10H - S10H	1.4788	Up	0.004
Ms4a4d	X10H - S10H	1.1794	Up	0.004
Ifi27l2b	X10H - S10H	1.5742	Up	0.004
Gpt2	X10H - S10H	1.035	Up	0.0041
Mipol1	X10H - S10H	1.2116	Up	0.0042
Rcan1	X10H - S10H	1.4533	Up	0.0043
Trpv2	X10H - S10H	1.9217	Up	0.0043
Adm	X10H - S10H	1.4579	Up	0.0043
Gm10156	X10H - S10H	1.3135	Up	0.0044
Sprr2a2	X10H - S10H	8.1855	Up	0.0044
RP23-142A14.2	X10H - S10H	-8.6112	Down	0.0045
Apol9a	X10H - S10H	-1.262	Down	0.0046
Ndufa4l2	X10H - S10H	-1.6155	Down	0.0046
Egln3	X10H - S10H	1.1779	Up	0.0048
Atp1a2	X10H - S10H	-2.1138	Down	0.0049
Rapgefl1	X10H - S10H	-2.2411	Down	0.0049
Gm10780	X10H - S10H	-5.5044	Down	0.005
Tgfb1i1	X10H - S10H	1.5907	Up	0.005
Fam50b	X10H - S10H	-9.8543	Down	0.0051
Prex2	X10H - S10H	1.0683	Up	0.0051
Rnf144a	X10H - S10H	1.4332	Up	0.0051
Obfc2a	X10H - S10H	1.0738	Up	0.0051
Tubb6	X10H - S10H	1.7168	Up	0.0051
Nop58	X10H - S10H	1.0029	Up	0.0052
1700017B05Rik	X10H - S10H	1.2695	Up	0.0052
AI428936	X10H - S10H	-1.7096	Down	0.0052
Mapre2	X10H - S10H	-1.0195	Down	0.0053
Gm14608	X10H - S10H	1.5257	Up	0.0053
Rbm3	X10H - S10H	1.0845	Up	0.0053
Cr2	X10H - S10H	8.1083	Up	0.0054
Gm8399	X10H - S10H	1.7084	Up	0.0055
Sprr2a1	X10H - S10H	8.048	Up	0.0055
Efnb2	X10H - S10H	-1.2832	Down	0.0055
Srrm4	X10H - S10H	1.4113	Up	0.0055
Tnfsf10	X10H - S10H	-1.8591	Down	0.0058
Slc46a3	X10H - S10H	-1.1889	Down	0.0058
Cerk	X10H - S10H	1.3064	Up	0.0058
Spata22	X10H - S10H	-1.0006	Down	0.0059
Gm10681	X10H - S10H	-6.5942	Down	0.0061
Tspan6	X10H - S10H	3.8044	Up	0.0061
5730528L13Rik	X10H - S10H	4.0358	Up	0.0061
Prtn3	X10H - S10H	-2.9769	Down	0.0061
Cmpk2	X10H - S10H	-1.6471	Down	0.0061
Gm20442	X10H - S10H	9.8612	Up	0.0062
Hsd3b4	X10H - S10H	-6.6217	Down	0.0062
Hebp2	X10H - S10H	3.9689	Up	0.0064
Tcea3	X10H - S10H	-1.2617	Down	0.0064
Faim3	X10H - S10H	8.0461	Up	0.0064
C1qtnf6	X10H - S10H	1.4327	Up	0.0065
Nfe2l3	X10H - S10H	3.8639	Up	0.0067
Mlxipl	X10H - S10H	-1.3219	Down	0.0067
Gm17316	X10H - S10H	-1.5345	Down	0.0068
Scube1	X10H - S10H	3.6589	Up	0.0068
Lrit1	X10H - S10H	-1.4127	Down	0.0069
Gm17295	X10H - S10H	-1.516	Down	0.0069
Rhbdf1	X10H - S10H	1.0934	Up	0.0069
Camk2b	X10H - S10H	2.3534	Up	0.0071
Mettl7a2	X10H - S10H	-1.0011	Down	0.0071
Ube2u	X10H - S10H	-1.1663	Down	0.0073
Cyp11a1	X10H - S10H	-6.1698	Down	0.0077
Gm10594	X10H - S10H	9.7263	Up	0.0077
Gm10597	X10H - S10H	9.7263	Up	0.0077
Dlgap2	X10H - S10H	7.2142	Up	0.0079
Gm12470	X10H - S10H	-6.6975	Down	0.0079
Klf6	X10H - S10H	1.3252	Up	0.0084
Tmprss2	X10H - S10H	1.0104	Up	0.0085
4932412H11Rik	X10H - S10H	3.7855	Up	0.0088
Ptk6	X10H - S10H	-2.3076	Down	0.009
Gbp6	X10H - S10H	-1.4245	Down	0.0093
Egfem1	X10H - S10H	1.8777	Up	0.0094
N4bp2l1	X10H - S10H	-1.6267	Down	0.0095
Ifi44	X10H - S10H	-1.4415	Down	0.0095
Pdgfra	X10H - S10H	1.145	Up	0.0095
Gm14416	X10H - S10H	1.2854	Up	0.0095
Gm13824	X10H - S10H	-1.1483	Down	0.0098
9330162012Rik	X10H - S10H	-1.0109	Down	0.0098
1600020E01Rik	X10H - S10H	-1.162	Down	0.0098
Cdkn2d	X10H - S10H	-1.1879	Down	0.0099
E2f1	X10H - S10H	-1.3146	Down	0.0101
Hecw2	X10H - S10H	1.0583	Up	0.0102
Satb1	X10H - S10H	3.51	Up	0.0102
6330403L08Rik	X10H - S10H	1.743	Up	0.0103
Cyp2a5	X10H - S10H	-1.8889	Down	0.0104
Hdac9	X10H - S10H	3.0597	Up	0.0106
Ctgf	X10H - S10H	1.8272	Up	0.0106
Btc	X10H - S10H	1.5826	Up	0.0109
Cyr61	X10H - S10H	1.6791	Up	0.0109
AU015228	X10H - S10H	6.3141	Up	0.0112
Adamts9	X10H - S10H	1.2782	Up	0.0112
Art4	X10H - S10H	-1.2698	Down	0.0112
Krt18	X10H - S10H	1.0539	Up	0.0114
Btnl9	X10H - S10H	-1.3772	Down	0.0114
Filip1l	X10H - S10H	1.4595	Up	0.0115
Tlr12	X10H - S10H	1.7011	Up	0.0117
Syp	X10H - S10H	3.08	Up	0.0117
Acmsd	X10H - S10H	1.2953	Up	0.0117
Cd69	X10H - S10H	9.1188	Up	0.012
Gm13246	X10H - S10H	-6.3988	Down	0.012
D630024D03Rik	X10H - S10H	-4.5969	Down	0.0121
Barx1	X10H - S10H	-7.0644	Down	0.0121
Sprr2b	X10H - S10H	12.2245	Up	0.0123
Gm11008	X10H - S10H	1.105	Up	0.0131
Sytl5	X10H - S10H	6.4527	Up	0.0131
Myom1	X10H - S10H	2.1505	Up	0.0132
Gm9432	X10H - S10H	1.0695	Up	0.0134
Gm17385	X10H - S10H	-1.4466	Down	0.0134
Cacnb2	X10H - S10H	5.0277	Up	0.0134
Ifit1	X10H - S10H	-1.5193	Down	0.0136
Endou	X10H - S10H	-6.8835	Down	0.0137
Itpka	X10H - S10H	-1.7111	Down	0.0142
Crispld2	X10H - S10H	1.4253	Up	0.0143
Klhdc7a	X10H - S10H	-1.3012	Down	0.0143
Akap6	X10H - S10H	6.966	Up	0.0144
Olfm2	X10H - S10H	3.1663	Up	0.0146
Ccdc8	X10H - S10H	3.3801	Up	0.0146
Entpd1	X10H - S10H	1.1507	Up	0.0146
Frzb	X10H - S10H	1.3017	Up	0.0146
Gm15064	X10H - S10H	-7.4202	Down	0.0149
Serpinb9b	X10H - S10H	8.7816	Up	0.0149
Slc22a5	X10H - S10H	1.0894	Up	0.0152
Gm4694	X10H - S10H	-1.2215	Down	0.0152
Ptrh1	X10H - S10H	1.0534	Up	0.0154
Rgs12	X10H - S10H	-1.2603	Down	0.0162
Ppbp	X10H - S10H	8.1227	Up	0.0162
6030405A18Rik	X10H - S10H	6.9838	Up	0.0163
Gm16793	X10H - S10H	-1.6048	Down	0.0164
E130218I03Rik	X10H - S10H	-5.6873	Down	0.0164
Tnfrsf11b	X10H - S10H	1.3235	Up	0.0167
Gm17555	X10H - S10H	-1.3426	Down	0.0167
Myl7	X10H - S10H	-10.0778	Down	0.0172
Gm7334	X10H - S10H	1.2414	Up	0.0173
Cyp11b1	X10H - S10H	4.8011	Up	0.0174
Rorc	X10H - S10H	-1.1308	Down	0.0174
Fn3k	X10H - S10H	-1.0313	Down	0.0179
Bmper	X10H - S10H	2.3932	Up	0.0179
Gm5901	X10H - S10H	4.8663	Up	0.018
Des	X10H - S10H	1.1263	Up	0.018
Elovl7	X10H - S10H	1.8974	Up	0.018
Gm11611	X10H - S10H	8.4226	Up	0.0181
Peg12	X10H - S10H	8.8468	Up	0.0183
B230206L02Rik	X10H - S10H	4.5557	Up	0.0184
Wnt10a	X10H - S10H	8.3867	Up	0.0184
Rad18	X10H - S10H	1.2487	Up	0.0187
Cep110	X10H - S10H	1.0899	Up	0.0187
Actg-ps1	X10H - S10H	1.5748	Up	0.0187
Gnai1	X10H - S10H	1.5021	Up	0.0189
1700028E10Rik	X10H - S10H	-1.1232	Down	0.0191
Bcl11a	X10H - S10H	6.8289	Up	0.0191
Hsd3b2	X10H - S10H	-1.4549	Down	0.0192
Gm3510	X10H - S10H	-3.1445	Down	0.0192
Gm14734	X10H - S10H	6.1672	Up	0.0197
Peli3	X10H - S10H	-1.5669	Down	0.0198
Id3	X10H - S10H	1.2854	Up	0.02
Zfp366	X10H - S10H	6.5918	Up	0.0204
Fhod3	X10H - S10H	-1.2941	Down	0.0205
AC163694.1	X10H - S10H	1.4999	Up	0.0206
4930594M22Rik	X10H - S10H	-1.2298	Down	0.0209
Panx1	X10H - S10H	3.376	Up	0.021
Purg	X10H - S10H	-1.071	Down	0.021
Ercc6l	X10H - S10H	3.1561	Up	0.0216
Lamb3	X10H - S10H	1.3971	Up	0.0218
Lca5	X10H - S10H	-2.4379	Down	0.0218
Tas2r137	X10H - S10H	-3.3954	Down	0.0221
Cyp2a4	X10H - S10H	-1.832	Down	0.0221
Hgf	X10H - S10H	1.0745	Up	0.0221
Rerg	X10H - S10H	1.0851	Up	0.0221
Aph1b	X10H - S10H	-1.0166	Down	0.0221
Car8	X10H - S10H	-1.0255	Down	0.0224
Cyp21a2-ps	X10H - S10H	-1.9751	Down	0.0225
Bhlhb9	X10H - S10H	1.1921	Up	0.0226
Mum1l1	X10H - S10H	6.2563	Up	0.0226
Kirrel	X10H - S10H	1.1824	Up	0.0228
Fa2h	X10H - S10H	7.8541	Up	0.0229
Prrg3	X10H - S10H	1.6557	Up	0.0229
Serpina6	X10H - S10H	-1.367	Down	0.023
Slc24a3	X10H - S10H	2.9111	Up	0.023
Fxyd3	X10H - S10H	3.1511	Up	0.0234
Ptgfr	X10H - S10H	5.8678	Up	0.0237
Tlr5	X10H - S10H	1.1703	Up	0.0237
Gm11890	X10H - S10H	-3.8168	Down	0.0237
Aox3	X10H - S10H	-1.1	Down	0.0245
Enho	X10H - S10H	-1.2145	Down	0.0247
Dnahc3	X10H - S10H	5.525	Up	0.0255
B4galnt3	X10H - S10H	-1.6833	Down	0.0256
Slc52a3	X10H - S10H	1.6262	Up	0.0259
Tox	X10H - S10H	1.4842	Up	0.0263
Cnga4	X10H - S10H	-7.4592	Down	0.0266
Galntl4	X10H - S10H	1.2746	Up	0.027
Ankrd29	X10H - S10H	3.0509	Up	0.0271
Htra3	X10H - S10H	-1.4758	Down	0.0272
Cspg5	X10H - S10H	-1.7369	Down	0.0273
Fli1	X10H - S10H	1.2665	Up	0.0277
Klhl26	X10H - S10H	1.0058	Up	0.0279
Nuf2	X10H - S10H	4.8907	Up	0.0281
Gm14405	X10H - S10H	1.1814	Up	0.0281
Plxdc2	X10H - S10H	2.8486	Up	0.0284
Gm16867	X10H - S10H	1.0899	Up	0.0286
Igkc	X10H - S10H	2.1633	Up	0.0288
Mcam	X10H - S10H	1.0297	Up	0.0291
Akap12	X10H - S10H	1.5112	Up	0.0293
Gm7809	X10H - S10H	8.6107	Up	0.0294
Pde4d	X10H - S10H	1.1473	Up	0.0299
Isyna1	X10H - S10H	-1.0862	Down	0.0302
Tbc1d8	X10H - S10H	1.1029	Up	0.0305
Birc5	X10H - S10H	-1.7591	Down	0.0307
Tmie	X10H - S10H	-1.0724	Down	0.031
Sox12	X10H - S10H	-1.3146	Down	0.031
Pth1r	X10H - S10H	-1.0384	Down	0.0312
Grm4	X10H - S10H	-2.5945	Down	0.0314
1700040L02Rik	X10H - S10H	1.7307	Up	0.0314
2610305D13Rik	X10H - S10H	3.1824	Up	0.0314
Gm11684	X10H - S10H	5.1616	Up	0.0316
Rsad2	X10H - S10H	-1.6629	Down	0.032
Plk5	X10H - S10H	-1.2235	Down	0.0322
Apoa4	X10H - S10H	1.5076	Up	0.0322
Spnb4	X10H - S10H	-6.8686	Down	0.0322
Gm12521	X10H - S10H	3.6818	Up	0.0325
Acot2	X10H - S10H	1.7234	Up	0.0333
Gm13869	X10H - S10H	8.4192	Up	0.0335
Tuft1	X10H - S10H	1.0989	Up	0.0336
Wipf3	X10H - S10H	1.1235	Up	0.0336
Cdca2	X10H - S10H	3.0986	Up	0.0338
Fbn2	X10H - S10H	6.9644	Up	0.0339
Gm20427	X10H - S10H	-8.2552	Down	0.034
Gm14387	X10H - S10H	1.3567	Up	0.0341
1700034P13Rik	X10H - S10H	1.2514	Up	0.0344
Igj	X10H - S10H	1.6207	Up	0.0344
Nrg4	X10H - S10H	1.4533	Up	0.0347
Gm15393	X10H - S10H	-7.8036	Down	0.0347
Cd22	X10H - S10H	2.2723	Up	0.0348
Wnt9b	X10H - S10H	1.1895	Up	0.0351
Akr1b7	X10H - S10H	2.1376	Up	0.0354
D030018L15Rik	X10H - S10H	6.4047	Up	0.036
Tctn2	X10H - S10H	-1.0457	Down	0.036
Igfals	X10H - S10H	-1.0842	Down	0.0367
Gm16363	X10H - S10H	1.3392	Up	0.0379
Gm1980	X10H - S10H	1.2442	Up	0.0381
Rian	X10H - S10H	1.4148	Up	0.0385
Gm12892	X10H - S10H	-4.8595	Down	0.0387
Dclk3	X10H - S10H	-1.851	Down	0.0388
Neat1	X10H - S10H	1.7504	Up	0.0388
Mmp24	X10H - S10H	6.609	Up	0.0389
Aqp7	X10H - S10H	8.501	Up	0.0389
Kcnn4	X10H - S10H	3.1104	Up	0.039
Gm13634	X10H - S10H	-1.3794	Down	0.0395
Kcne4	X10H - S10H	4.9363	Up	0.0398
Tle6	X10H - S10H	-1.231	Down	0.0413
Hsd3b6	X10H - S10H	-1.4476	Down	0.0414
Mlc1	X10H - S10H	6.041	Up	0.0419
4930524L23Rik	X10H - S10H	4.2776	Up	0.0427
Ephb6	X10H - S10H	-2.8903	Down	0.0434
Pcp4l1	X10H - S10H	-1.2058	Down	0.0434
Gale	X10H - S10H	1.08	Up	0.0435
Abpa	X10H - S10H	-3.0834	Down	0.0435
Gm12243	X10H - S10H	-3.1805	Down	0.0437
Six2	X10H - S10H	-3.2948	Down	0.0438
Gm4673	X10H - S10H	1.8835	Up	0.0438
Pkdrej	X10H - S10H	6.6746	Up	0.0442
Adrb3	X10H - S10H	-1.5069	Down	0.0445
Gm17621	X10H - S10H	-1.2444	Down	0.0452
Acta2	X10H - S10H	2.2283	Up	0.0453
Plin4	X10H - S10H	2.3443	Up	0.0453
Btg3	X10H - S10H	1.0711	Up	0.046
Fam117a	X10H - S10H	-1.3707	Down	0.0463
Adcyap1r1	X10H - S10H	-3.2543	Down	0.0465
Dsg1a	X10H - S10H	3.3184	Up	0.047
Epgn	X10H - S10H	8.834	Up	0.0478
Hes6	X10H - S10H	-1.0825	Down	0.0479
Gm2788	X10H - S10H	-1.0965	Down	0.0485
Syt3	X10H - S10H	-1.3698	Down	0.0485
Gm13013	X10H - S10H	3.4647	Up	0.0486
Gm14860	X10H - S10H	-9.7613	Down	0.0486
Lhfpl5	X10H - S10H	3.2473	Up	0.0487
Pram1	X10H - S10H	-2.9637	Down	0.0492
1810059H22Rik	X10H - S10H	-1.2828	Down	0.0493
Gm14441	X10H - S10H	-2.7581	Down	0.0496
Mcm3	X10H - S10H	1.1915	Up	0.0496
Nmb	X20H - S20H	11.6196	Up	1.2241e-13
Ckap2	X20H - S20H	8.4453	Up	1.5552e-09
Gm4956	X20H - S20H	-3.8142	Down	9.7688e-09
Tmed5	X20H - S20H	1.3482	Up	7.2327e-08
Thbd	X20H - S20H	2.513	Up	1.3058e-07
Zc3h12b	X20H - S20H	7.2884	Up	2.9147e-07
RP23-425D13.4	X20H - S20H	7.9486	Up	2.9147e-07
Afmid	X20H - S20H	-1.8313	Down	3.9292e-07
Cml1	X20H - S20H	-1.7224	Down	4.5452e-07
3010003L21Rik	X20H - S20H	7.223	Up	7.3268e-07
Ces1d	X20H - S20H	-1.8141	Down	7.3268e-07
Pgm3	X20H - S20H	1.3508	Up	1.199e-06
Nat8b	X20H - S20H	-1.6966	Down	1.199e-06
Casc5	X20H - S20H	8.6981	Up	1.199e-06
4933428G20Rik	X20H - S20H	-6.4153	Down	1.2588e-06
Klhl29	X20H - S20H	8.0872	Up	2.8732e-06
Gm9955	X20H - S20H	-11.9209	Down	3.4615e-06
Slc25a22	X20H - S20H	1.5689	Up	7.1121e-06
Gsta3	X20H - S20H	-1.275	Down	7.1121e-06
Fam54a	X20H - S20H	10.1154	Up	7.1121e-06
Oat	X20H - S20H	1.7124	Up	0
Pbk	X20H - S20H	8.7936	Up	0
Bmp10	X20H - S20H	6.2422	Up	0
Lhpp	X20H - S20H	1.3516	Up	0
Armcx4	X20H - S20H	2.2421	Up	0
Ccdc120	X20H - S20H	1.9753	Up	0
Car3	X20H - S20H	-3.5395	Down	0
Ces1f	X20H - S20H	-1.7205	Down	0
Ccnd1	X20H - S20H	2.5623	Up	0
Dppa4	X20H - S20H	-6.5107	Down	0
Gm7846	X20H - S20H	8.9915	Up	0
Col4a1	X20H - S20H	1.6194	Up	0.0001
A4galt	X20H - S20H	5.4359	Up	0.0001
Pdzrn3	X20H - S20H	1.8534	Up	0.0001
Gm9783	X20H - S20H	8.7097	Up	0.0001
Srrm4	X20H - S20H	1.9766	Up	0.0001
Inmt	X20H - S20H	-3.1967	Down	0.0001
Tmem14a	X20H - S20H	-1.4671	Down	0.0002
Gm10156	X20H - S20H	1.7353	Up	0.0002
3930402G23Rik	X20H - S20H	3.6926	Up	0.0003
Adamts9	X20H - S20H	1.8093	Up	0.0003
Frzb	X20H - S20H	1.8953	Up	0.0003
Ppp1r1b	X20H - S20H	-1.8846	Down	0.0003
Rspo3	X20H - S20H	1.1619	Up	0.0003
Pdss1	X20H - S20H	1.2793	Up	0.0003
Zfp202	X20H - S20H	4.6354	Up	0.0003
4732419C18Rik	X20H - S20H	-1.4935	Down	0.0004
Gm11707	X20H - S20H	5.3857	Up	0.0004
C330027C09Rik	X20H - S20H	2.025	Up	0.0004
Nceh1	X20H - S20H	1.3652	Up	0.0004
Pla2g12a	X20H - S20H	1.141	Up	0.0004
Gm18367	X20H - S20H	-6.2129	Down	0.0004
D17H6S56E-5	X20H - S20H	2.4392	Up	0.0005
Gm14683	X20H - S20H	4.4195	Up	0.0005
Serpina3h	X20H - S20H	5.2198	Up	0.0005
Jam2	X20H - S20H	1.0553	Up	0.0006
Gamt	X20H - S20H	-1.5002	Down	0.0006
Myo7b	X20H - S20H	9.1814	Up	0.0007
Snora73b	X20H - S20H	5.7399	Up	0.0007
Syt12	X20H - S20H	2.455	Up	0.0007
1810055G02Rik	X20H - S20H	1.6526	Up	0.0008
Rnf144a	X20H - S20H	1.7313	Up	0.0008
2310001H17Rik	X20H - S20H	-1.4975	Down	0.0008
SNORD101	X20H - S20H	10.0088	Up	0.0008
Mtl5	X20H - S20H	4.0735	Up	0.0009
Uhrf1	X20H - S20H	5.1828	Up	0.0009
Prex2	X20H - S20H	1.2704	Up	0.0009
Tk1	X20H - S20H	-1.608	Down	0.0009
Synpo	X20H - S20H	1.6266	Up	0.001
Bex1	X20H - S20H	7.3154	Up	0.001
Bcmo1	X20H - S20H	1.1194	Up	0.001
Mybl1	X20H - S20H	2.5951	Up	0.001
Hip1r	X20H - S20H	1.0902	Up	0.001
Rwdd2a	X20H - S20H	10.5671	Up	0.001
S1pr3	X20H - S20H	1.764	Up	0.001
Serpina3i	X20H - S20H	5.5123	Up	0.001
Sdsl	X20H - S20H	1.3574	Up	0.001
Ly6d	X20H - S20H	3.121	Up	0.001
Rab27a	X20H - S20H	1.3166	Up	0.0011
Ckap2l	X20H - S20H	7.8301	Up	0.0011
Syt3	X20H - S20H	-2.07	Down	0.0012
Aifm3	X20H - S20H	-1.2929	Down	0.0013
Serpina6	X20H - S20H	-1.8613	Down	0.0013
Bmper	X20H - S20H	3.1514	Up	0.0013
Pspc1	X20H - S20H	1.206	Up	0.0013
Emilin1	X20H - S20H	1.1947	Up	0.0013
Abca8a	X20H - S20H	-1.7886	Down	0.0014
Trim24	X20H - S20H	1.1962	Up	0.0016
Gm5633	X20H - S20H	7.799	Up	0.0016
Fam187b	X20H - S20H	1.1828	Up	0.0017
Izumo4	X20H - S20H	-1.563	Down	0.0017
Trib2	X20H - S20H	1.4419	Up	0.0018
Mup-ps1	X20H - S20H	-2.1143	Down	0.0018
Trim6	X20H - S20H	4.2194	Up	0.0018
Arhgap33	X20H - S20H	4.2298	Up	0.0018
Pcdh7	X20H - S20H	4.5132	Up	0.0019
Exo1	X20H - S20H	9.6425	Up	0.002
Plekhm3	X20H - S20H	1.2997	Up	0.002
Rad51ap1	X20H - S20H	7.0952	Up	0.002
Slc16a1	X20H - S20H	1.0541	Up	0.0021
Tlcd2	X20H - S20H	-1.2761	Down	0.0023
Sult1e1	X20H - S20H	10.8538	Up	0.0023
Top2a	X20H - S20H	2.8778	Up	0.0023
Adamts1	X20H - S20H	1.2671	Up	0.0023
Btg3	X20H - S20H	1.5145	Up	0.0024
Actr3b	X20H - S20H	10.3194	Up	0.0024
Col4a2	X20H - S20H	1.0287	Up	0.0024
9430002A10Rik	X20H - S20H	4.8144	Up	0.0024
Rdm1	X20H - S20H	-1.3093	Down	0.0025
AL603828.1	X20H - S20H	-4.5199	Down	0.0025
Mir804	X20H - S20H	-4.4372	Down	0.0025
Gm9775	X20H - S20H	-4.2533	Down	0.0025
S100z	X20H - S20H	-3.8843	Down	0.0025
4930557A04Rik	X20H - S20H	-3.7575	Down	0.0025
Gm11475	X20H - S20H	-3.6624	Down	0.0025
Gpha2	X20H - S20H	-3.5755	Down	0.0025
Gm11523	X20H - S20H	-3.4219	Down	0.0025
Gm13716	X20H - S20H	-3.4081	Down	0.0025
4930558J22Rik	X20H - S20H	-3.4045	Down	0.0025
4930474H06Rik	X20H - S20H	-3.2491	Down	0.0025
Gm15807	X20H - S20H	-3.2486	Down	0.0025
Olfr1382	X20H - S20H	-3.1707	Down	0.0025
Gpr151	X20H - S20H	-3.0701	Down	0.0025
Gm8840	X20H - S20H	-2.6402	Down	0.0025
Cdkn3	X20H - S20H	10.9024	Up	0.0025
Cyp2a5	X20H - S20H	-2.2006	Down	0.0025
Thrsp	X20H - S20H	-2.5689	Down	0.0025
Ces3b	X20H - S20H	-1.0883	Down	0.0025
Gck	X20H - S20H	-1.9728	Down	0.0025
Upp2	X20H - S20H	-2.2094	Down	0.0026
Gm9670	X20H - S20H	9.2135	Up	0.0026
Mup-ps13	X20H - S20H	-1.7401	Down	0.0027
Hsd3b3	X20H - S20H	-1.7032	Down	0.0027
E130317F20Rik	X20H - S20H	2.0889	Up	0.0027
Mms22l	X20H - S20H	1.6824	Up	0.0027
Gm6939	X20H - S20H	1.1385	Up	0.0027
Olfml2b	X20H - S20H	3.781	Up	0.0027
Mid1	X20H - S20H	1.4591	Up	0.0028
Tacc3	X20H - S20H	1.3933	Up	0.0028
Apold1	X20H - S20H	1.6874	Up	0.0029
Tnfrsf12a	X20H - S20H	1.733	Up	0.0029
Id4	X20H - S20H	4.4003	Up	0.003
Ccl19-ps1	X20H - S20H	4.4132	Up	0.003
Fry	X20H - S20H	1.3069	Up	0.0031
Cenpf	X20H - S20H	6.0912	Up	0.0031
