ABCC1	ACACA	ACSL3	CS	FANCD2	FTL	G6PD	IREB2	LOX	LPCAT3	NCOA4	NFE2L2	NOX4	PEBP1	PTGS2	SLC1A5	SLC40A1	TFRC	ZEB1	YAP1	WWTR1	TEAD1	TEAD2	TEAD3	TEAD4	SMAD1	SMAD2	SMAD3	SMAD4
2.6739	2.8872	4.294	4.136	0.8371	11.946	3.3766	2.317	1.6557	2.5579	6.0836	4.2436	2.0073	7.3912	0.0956	3.164	7.0031	4.1315	1.5248	3.584	1.7031	3.0321	2.775	2.7491	1.049	2.444	2.4855	2.4458	2.1447
1.284	1.6603	3.9096	3.6955	0.2128	14.151	3.0471	1.6559	0.5616	1.9798	5.344	3.4006	0.2252	9.4695	0.211	2.561	4.7007	2.9233	1.5286	3.1103	2.5021	2.2	1.7415	3.1819	1.7066	2.0891	1.0242	2.3682	1.8806
0.2385	1.2299	2.1974	2.2337	0.2118	13.0089	2.0476	1.3384	0.2223	0.698	5.0789	2.1193	0.0457	9.8213	0.1286	0.9744	3.92	2.2091	0.6509	1.0971	1.4272	1.2133	1.1172	2.1043	0.8807	1.3523	0.466	1.5524	1.8212
3.3582	1.5379	2.8431	5.3218	0.4777	13.1473	3.8256	2.498	0.9212	1.3887	6.2156	3.983	0.7061	8.7791	1.8864	2.7525	7.9815	3.374	1.1332	3.836	3.0817	2.6436	3.8878	3.0466	2.1054	0.9829	1.6164	2.2676	2.2583
1.8485	1.9697	3.7148	3.6119	0.7969	14.5297	4.0065	1.9319	1.189	2.097	5.3881	3.937	0.3988	9.0546	0.3537	2.8188	5.2018	3.5127	2.1046	3.198	2.8889	2.5493	2.7829	3.1685	1.9194	1.8361	1.0847	2.9165	2.3174
0.4441	1.906	3.618	3.9681	0.4626	12.6155	2.4041	2.4025	0.6133	1.741	6.8457	4.7168	0.3434	10.3861	0.1301	0.7671	6.6928	1.377	2.5368	3.6686	3.0228	2.5552	2.2122	3.8959	0.7963	2.0446	1.2094	3.5362	2.5204
0.8293	2.4078	3.6102	4.3156	0.7993	12.5197	3.8254	2.1419	0.3828	2.6015	6.2085	3.1423	0.069	9.3458	0.2706	2.986	5.2377	4.1396	1.3208	2.3346	1.7645	1.7618	3.6362	3.0915	2.4878	1.6341	0.8643	2.185	2.3049
1.4735	1.6016	3.0374	3.0346	1.7984	11.8317	3.0507	2.5373	0.6044	0.9445	5.1542	4.1955	0.1799	8.67	0.0262	2.6845	5.4368	2.966	1.6842	2.6536	2.3007	2.7053	2.1066	3.0217	0.4573	1.208	1.3135	2.9235	2.6521
4.0219	2.2738	3.2815	5.0876	1.1917	10.9032	4.5817	2.733	0.819	2.2172	5.6755	4.3339	0.3488	8.1435	0.3423	3.6698	6.3498	4.1531	1.1835	3.2924	5.0782	4.5204	4.6108	3.9422	3.1772	1.9268	1.8372	4.0972	3.145
0.9667	2.2499	2.8608	2.545	0.5458	12.7159	1.8178	2.349	0.609	1.1596	5.2617	3.5258	0.1043	10.0944	0.0411	2.3271	5.8403	2.5322	1.101	2.167	1.3256	2.4456	1.6643	2.4683	1.9948	1.1435	1.1609	2.8385	2.3905
1.6531	2.5564	2.7173	3.4025	0.996	11.5695	1.9093	2.1438	0.4275	2.9228	6.435	2.9983	0.091	9.8331	0.0148	0.6837	5.4311	2.5706	1.6864	2.2556	2.1092	2.9414	0.9136	2.7586	0.9703	1.5595	0.8903	1.304	2.0115
1.9186	1.8625	3.4006	3.9504	0.4985	12.6612	3.467	2.5509	2.2072	2.0878	6.164	4.634	0.519	9.6508	1.0391	3.0838	5.9529	3.4067	2.5504	3.9901	3.6724	2.7588	2.4071	3.8255	1.8944	2.0301	1.2876	3.3208	2.5851
1.146	1.6984	2.5165	2.7649	0.7456	14.0116	2.1342	1.8221	0.9821	1.5073	5.2346	3.4655	0.1245	10.4232	0.0431	1.2845	6.0069	3.3165	1.2289	2.3662	1.7626	2.3228	1.3073	2.4406	0.8684	1.3916	1.3472	2.2156	2.2042
0.7572	2.8787	4.6045	4.2808	0.7804	12.2832	2.6303	3.0769	1.967	3.2064	7.037	4.4021	0.3889	8.7519	0.3521	2.6629	6.2084	4.2918	2.1688	4.6471	2.6905	2.7463	2.9243	4.505	1.9543	0.9595	1.7385	3.2841	3.4122
3.0664	2.6207	5.055	4.593	1.8581	12.0743	4.2402	3.2258	2.9996	2.9025	6.3945	3.8537	0.2813	8.3273	0.762	3.6316	6.4596	4.5259	2.2945	3.3952	3.2389	3.4489	3.6651	3.6646	1.1962	1.262	2.2313	4.0086	3.6237
2.7945	2.7897	4.1885	3.7566	0.905	14.2255	5.1296	2.2527	0.805	2.6069	5.9172	3.9625	0.2694	9.5683	0.3946	3.8344	5.9869	3.9966	1.6352	3.2339	1.9353	2.4159	2.7355	2.7747	1.2105	1.7742	1.1773	2.8464	2.3011
