symbol	log2FC	qvalue	group
Mknk1	-0.1362	0.7199	None
Pkib	1.7728	0.0091	Up
Fbn2	4.5651	0.0202	Up
Pnkd	0.7709	0.0032	None
Fam162a	-0.1549	0.883	None
Adgre1	1.1295	0.0294	Up
Zcchc17	0.0606	0.9181	None
Hsbp1l1	-3.038	0.0313	Down
Prpf38b	-0.0349	0.9215	None
Edc4	0.0211	0.9665	None
Sgpl1	0.2189	0.3896	None
Xpo5	0.2873	0.4528	None
Pls3	-0.2792	0.2416	None
Zmym2	0.1472	0.6981	None
Gspt1	-0.4295	0.0199	None
Wscd1	1.5246	0.3674	None
Hmgxb3	-0.0091	0.9853	None
Psmc1	-0.5718	0.0926	None
Dnase1l1	0.4824	0.4125	None
Aen	-0.1629	0.6996	None
Dnase2b	-0.519	0.0993	None
Ccdc22	-0.1344	0.8778	None
Sertad4	-0.5054	0.8789	None
Nae1	-0.3048	0.8484	None
Abcb1b	1.3834	0.2142	None
Trappc5	-0.4835	0.0298	None
Gpc3	1.0376	0.3609	None
Dazap2	-0.0221	0.946	None
Ss18l2	-1.2659	0	Down
Lrrc28	-0.6525	0.1609	None
Esd	-0.2164	0.7516	None
Ubxn8	-0.0305	0.9327	None
Dusp28	-1.1749	0.0007	Down
Ces1c	-0.9905	9.9956e-09	None
Endou	1.1013	0.4271	None
Tctn2	-0.1122	0.9573	None
Gm35978	1.9897	0.6327	None
Ppp1r9b	0.9873	0.0001	None
Hace1	0.4014	0.5993	None
Nudt4	0.8696	5.7705e-06	None
Pcgf2	0.8649	0.1036	None
Lrmda	-0.3702	0.9274	None
Saa2	2.9932	9.9754e-20	Up
Bbof1	-0.4169	0.6684	None
Epb41l4b	-1.1643	1.2367e-08	Down
Ptrh2	-0.1781	0.6506	None
Flacc1	-2.6178	0.3244	None
Mirlet7d	-1.7005	0.6243	None
Esf1	-0.5258	0.146	None
Stard3	-0.3086	0.5294	None
Nrip1	0.9114	0.0005	None
Kif14	3.3806	0.0286	Up
Sall2	-1.0568	0.0202	Down
Slc40a1	0.3466	0.1965	None
Tnfaip8l1	-0.5149	0.0267	None
Acap3	0.3719	0.497	None
Med10	-0.1973	0.7153	None
Slc38a7	0.2583	0.4063	None
Setd4	-1.0655	0.0243	Down
Csl	0.5157	0.0105	None
Zfp867	-0.3942	0.4654	None
Rap2c	0.4215	0.0427	None
Iffo1	0.45	0.1901	None
H4c9	1.1599	0.0261	Up
Tmem231	0.5011	0.7753	None
Zfp385a	1.4305	7.2691e-08	Up
Runx1t1	2.0169	0.0852	None
Rars2	-1.0828	0.4358	None
Atf1	0.1042	0.7479	None
Rfk	-0.3151	0.1453	None
Zbtb41	-0.1844	0.5825	None
H2ac8	-1.2008	0.4391	None
Lrrc71	-0.0578	0.9152	None
Grb7	-0.7118	0.0019	None
Coq8b	1.0382	0.0001	Up
Hras	-0.1755	0.6247	None
Pwwp2b	1.1517	0.0367	Up
Col14a1	0.3996	0.1521	None
Cdc42	0.6529	0.0001	None
C2cd2	-0.1073	0.6887	None
Adra2b	0.1506	0.8402	None
Gm14207	1.2872	0.3067	None
Pop4	0.3443	0.4302	None
Aqp11	-0.636	0.0122	None
Zfp667	-0.691	0.3019	None
Cables2	-0.5433	0.0364	None
Slc24a1	1.6974	0.6596	None
Zfp622	0.4643	0.1106	None
Ppif	-0.4139	0.0792	None
