gene	exprs	group
TP53	2.7635	Tumor
KRAS	2.0434	Tumor
BRAF	0.7786	Tumor
EGFR	3.4682	Tumor
TP53	2.1056	Tumor
KRAS	2.392	Tumor
BRAF	0.6215	Tumor
EGFR	3.8656	Tumor
TP53	1.8821	Tumor
KRAS	2.3948	Tumor
BRAF	1.1644	Tumor
EGFR	4.2564	Tumor
TP53	2.5298	Tumor
KRAS	3.1937	Tumor
BRAF	0.5687	Tumor
EGFR	5.2393	Tumor
TP53	3.1788	Tumor
KRAS	1.7304	Tumor
BRAF	1.2056	Tumor
EGFR	2.8422	Tumor
TP53	1.0923	Tumor
KRAS	1.3435	Tumor
BRAF	0.8573	Tumor
EGFR	3.4486	Tumor
TP53	3.1792	Tumor
KRAS	1.9178	Tumor
BRAF	0.5784	Tumor
EGFR	1.6165	Tumor
TP53	1.8575	Tumor
KRAS	2.5875	Tumor
BRAF	0.9816	Tumor
EGFR	2.9376	Tumor
TP53	1.8807	Tumor
KRAS	1.0647	Tumor
BRAF	0.5791	Tumor
EGFR	2.5811	Tumor
TP53	1.3986	Tumor
KRAS	1.7005	Tumor
BRAF	0.5464	Tumor
EGFR	3.6735	Tumor
TP53	3.1009	Tumor
KRAS	2.5786	Tumor
BRAF	0.7662	Tumor
EGFR	3.3414	Tumor
TP53	1.6877	Tumor
KRAS	3.0264	Tumor
BRAF	0.8408	Tumor
EGFR	3.384	Tumor
TP53	0.8097	Tumor
KRAS	1.2559	Tumor
BRAF	1.0038	Tumor
EGFR	4.2113	Tumor
TP53	2.8	Tumor
KRAS	0.9926	Tumor
BRAF	0.2715	Tumor
EGFR	1.8936	Tumor
TP53	2.9229	Tumor
KRAS	2.2891	Tumor
BRAF	0.899	Tumor
EGFR	2.8413	Tumor
TP53	2.3971	Tumor
KRAS	1.7894	Tumor
BRAF	0.9461	Tumor
EGFR	3.3565	Tumor
TP53	3.3337	Tumor
KRAS	2.4722	Tumor
BRAF	0.8792	Tumor
EGFR	5.6263	Tumor
TP53	3.1604	Tumor
KRAS	1.8352	Tumor
BRAF	0.84	Tumor
EGFR	3.3745	Tumor
TP53	3.3605	Tumor
KRAS	1.9095	Tumor
BRAF	0.5252	Tumor
EGFR	1.5848	Tumor
TP53	3.2524	Tumor
KRAS	2.7585	Tumor
BRAF	1.2469	Tumor
EGFR	2.2392	Tumor
TP53	2.083	Tumor
KRAS	2.242	Tumor
BRAF	0.8048	Tumor
EGFR	2.9669	Tumor
